Name,Age,Net_Worth,Income Source,Citizenship
Heikki Kyostila ,76.0,$1.3 B,Healthcare ,Finland
Gilles Martin ,58.0,$4 B,Healthcare ,France
Niranjan Hiranandani ,72.0,$1.5 B,Real Estate ,India
Kentaro Ogawa ,73.0,$1.5 B,Food & Beverage ,Japan
Min Kao & family ,73.0,$4.6 B,Technology ,United States
Shao Qinxiang ,67.0,$1.7 B,Manufacturing ,China
Wang Qiangxiang ,50.0,$1 B,Service ,China
Cheng Yixiao ,38.0,$3.4 B,Media & Entertainment ,China
Sebastian Siemiatkowski ,40.0,$3.2 B,Finance & Investments ,Sweden
Lucy Stitzer ,62.0,$2.4 B,Food & Beverage ,United States
Todd Wagner ,61.0,$2 B,Media & Entertainment ,United States
Chen Baohua ,60.0,$1.5 B,Healthcare ,China
Fred Smith ,77.0,$4.7 B,Logistics ,United States
Xuejing Liu & family ,71.0,$1.3 B,Diversified ,China
Bert Beveridge ,60.0,$4.5 B,Food & Beverage ,United States
Lei Jun ,52.0,$11.7 B,Technology ,China
Rob Walton ,77.0,$65 B,Fashion & Retail ,United States
Ben Ashkenazy ,52.0,$2.7 B,Real Estate ,United States
Luc Tack ,60.0,$1.2 B,Manufacturing ,Belgium
Miriam Baumann-Blocher ,47.0,$2.9 B,Manufacturing ,Switzerland
Bajaj siblings ,,$7.7 B,Automotive ,India
Vinod & Anil Rai Gupta,electrical equipment,$7.6B,"Delhi, India",
William Ackman ,55.0,$3 B,Finance & Investments ,United States
Eduardo Hochschild ,58.0,$1.1 B,Metals & Mining ,Peru
Wesley Edens ,60.0,$3.4 B,Finance & Investments ,United States
Harry Stine ,80.0,$6.9 B,Food & Beverage ,United States
Banwari Lal Bawri ,69.0,$2.4 B,Healthcare ,India
"Ernest Garcia, II. ",64.0,$8.6 B,Automotive ,United States
Richard Chandler ,63.0,$2.3 B,Finance & Investments ,New Zealand
Matthew Prince ,47.0,$3.2 B,Technology ,United States
Robert G. Miller ,76.0,$1.8 B,Technology ,Canada
Shintaro Yamada ,44.0,$1 B,Technology ,Japan
Gurbachan Singh Dhingra ,71.0,$3.8 B,Manufacturing ,India
Chey Tae-won ,61.0,$2.4 B,Telecom ,South Korea
Fu Mingkang & family ,59.0,$2 B,Manufacturing ,China
Acharya Balkrishna,50,$2.1B,"consumer goods, Self Made",India
Gennady Timchenko ,69.0,$11.3 B,Energy ,Russia
Anita Zucker ,70.0,$1.7 B,Manufacturing ,United States
M.Satyanarayana Reddy ,64.0,$1.7 B,Healthcare ,India
Zhu Xingliang ,62.0,$1.3 B,Construction & Engineering ,China
Ravi Pillai,69,$2.6B,"construction, Self Made",India
Lin Zhijun ,46.0,$1.3 B,Healthcare ,China
Jitendra Virwani,56,$1.9B,real estate,India
Samuel Yin ,71.0,$5.4 B,Diversified ,Taiwan
Zhu Yiwen & family ,,$1.3 B,Healthcare ,China
Bernd Freier ,65.0,$1.2 B,Fashion & Retail ,Germany
Azim Premji,77,$8.6B,software services,India
Luigi Cremonini & family ,82.0,$1.2 B,Food & Beverage ,Italy
Ruben Feffer ,52.0,$1.5 B,Manufacturing ,Brazil
Werner O. Weber ,83.0,$1.4 B,Manufacturing ,Switzerland
Pamela Mars ,61.0,$7.9 B,Food & Beverage ,United States
Dasari Uday Kumar Reddy ,54.0,$1.2 B,Technology ,India
Lukas Walton ,35.0,$16.5 B,Fashion & Retail ,United States
Andrei Rappoport ,58.0,$1.2 B,Finance & Investments ,Russia
Gustav Magnar Witzoe ,28.0,$4.5 B,Food & Beverage ,Norway
Sybill Storz ,84.0,$3 B,Healthcare ,Germany
Chua Thian Poh ,73.0,$1.3 B,Real Estate ,Singapore
Bertil Hult ,81.0,$4.2 B,Service ,Sweden
Warren Stephens ,65.0,$2.9 B,Finance & Investments ,United States
Mochtar Riady & family ,92.0,$1.8 B,Diversified ,Indonesia
Safra siblings ,,$7.7 B,Finance & Investments ,Brazil
Daniel Feffer ,62.0,$1.5 B,Manufacturing ,Brazil
Ashwin Dani,79,$8.6B,paints,India
Dirk Rossmann & family ,75.0,$2.3 B,Fashion & Retail ,Germany
Yeung Kin-man ,58.0,$4.5 B,Manufacturing ,Hong Kong
Hu Kaijun ,60.0,$3.6 B,Healthcare ,China
Pankaj Patel ,69.0,$4 B,Healthcare ,India
Harsh Goenka,64,$2B,diversified,India
Lin Muqin & family ,58.0,$5.4 B,Food & Beverage ,China
Ted Alfond ,77.0,$2.8 B,Fashion & Retail ,United States
Isak Andic & family ,68.0,$2.6 B,Fashion & Retail ,Spain
Gianluigi & Rafaela Aponte ,81.0,$16.8 B,Logistics ,Switzerland
Wang Zhentao & family ,56.0,$1.2 B,Healthcare ,China
Tony Xu ,37.0,$1.3 B,Technology ,United States
Andreas von Bechtolsheim & family ,66.0,$9.9 B,Technology ,Germany
Alice Schwartz ,95.0,$2.1 B,Healthcare ,United States
Karl Knauf ,,$1.4 B,Manufacturing ,Germany
Analjit Singh ,68.0,$1.1 B,Diversified ,India
Thierry Dassault ,65.0,$8.4 B,Diversified ,France
Arun Bharat Ram,81,$3.8B,chemicals,India
Tomas Olivo Lopez ,48.0,$1.6 B,Real Estate ,Spain
Vikram Lal,80,$6B,motorcycles,India
Markus Blocher ,51.0,$3 B,Manufacturing ,Switzerland
Fan Minhua ,60.0,$1.4 B,Healthcare ,China
George Sakellaris ,75.0,$1.6 B,Energy ,United States
Wei Jianjun & family ,58.0,$15.5 B,Automotive ,China
Ilona Herlin ,57.0,$1.5 B,Manufacturing ,Finland
Otto Happel ,74.0,$3.1 B,Construction & Engineering ,Germany
James Duff ,61.0,$2 B,Diversified ,United States
John Ocampo ,63.0,$1.3 B,Technology ,United States
Thomas Wu ,72.0,$2.1 B,Finance & Investments ,Taiwan
James Leininger ,77.0,$1.7 B,Healthcare ,United States
Charlotte Colket Weber ,79.0,$1.8 B,Food & Beverage ,United States
Xiong Wu ,46.0,$1.5 B,Technology ,China
Li Jianquan & family ,65.0,$3.3 B,Healthcare ,Hong Kong
Roy Chi Ping Chung ,69.0,$1 B,Manufacturing ,Hong Kong
Richard Branson ,71.0,$4.7 B,Diversified ,United Kingdom
Andreas Halvorsen ,60.0,$6.6 B,Finance & Investments ,Norway
Guenther Fielmann & family ,82.0,$4.7 B,Healthcare ,Germany
Masatoshi Ito ,97.0,$4.6 B,Fashion & Retail ,Japan
Udo Mueller ,60.0,$1 B,Media & Entertainment ,Germany
Stephen Bisciotti ,61.0,$5.9 B,Sports ,United States
Chi Yufeng ,51.0,$1.8 B,Technology ,China
John Van Lieshout ,76.0,$1.4 B,Real Estate ,Australia
Wu Li-gann ,81.0,$1.2 B,Manufacturing ,Taiwan
Li Yongqing ,57.0,$1.6 B,Manufacturing ,China
Scott Duncan ,39.0,$6.6 B,Energy ,United States
Stefan Persson ,74.0,$17.6 B,Fashion & Retail ,Sweden
Henry Swieca ,64.0,$1.8 B,Finance & Investments ,United States
Glenn Sanford ,55.0,$1 B,Real Estate ,United States
Nassef Sawiris ,61.0,$7.7 B,Construction & Engineering ,Egypt
Daniel Gilbert ,60.0,$22 B,Finance & Investments ,United States
Jim Walton ,73.0,$66.2 B,Fashion & Retail ,United States
Hongyi Zhou ,51.0,$2.5 B,Technology ,China
Frank Slootman ,63.0,$1.8 B,Technology ,United States
"Ernest Garcia, III ",39.0,$3.2 B,Automotive ,United States
Amalgamations family,tractors,$2.89B,"Chennai, India",
Pavel Durov ,37.0,$15.1 B,Technology ,United Arab Emirates
August Troendle ,66.0,$1.3 B,Healthcare ,United States
Shirley Kao ,65.0,$1.2 B,Food & Beverage ,Taiwan
Henadiy Boholyubov ,60.0,$1.1 B,Diversified ,Ukraine
Lynsi Snyder ,39.0,$4.2 B,Food & Beverage ,United States
Abdulsamad Rabiu ,61.0,$6.9 B,Diversified ,Nigeria
Sandeep Engineer,61,$3.22B,"plastic pipes, Self Made",India
Qiu Zixin ,58.0,$1 B,Healthcare ,China
Thomas Hagen ,86.0,$3.2 B,Finance & Investments ,United States
Kie Chie Wong ,74.0,$1.6 B,Metals & Mining ,Malaysia
Louis Bacon ,65.0,$1.6 B,Finance & Investments ,United States
Tom Morris ,67.0,$2.8 B,Fashion & Retail ,United Kingdom
Donald Newhouse ,92.0,$14.4 B,Media & Entertainment ,United States
Harindarpal Banga ,71.0,$2.6 B,Finance & Investments ,India
Eduardo Saverin ,40.0,$10.6 B,Media & Entertainment ,Brazil
Nick Caporella ,86.0,$3.4 B,Food & Beverage ,United States
Jeff Rothschild ,67.0,$2.8 B,Technology ,United States
Jan Koum ,46.0,$9.8 B,Technology ,United States
Deepak Mehta ,65.0,$1.7 B,Manufacturing ,India
Oleg Deripaska ,54.0,$1.7 B,Metals & Mining ,Russia
Bill Austin ,80.0,$2.7 B,Manufacturing ,United States
Alexander Sixt ,42.0,$1.3 B,Automotive ,Germany
Carl Cook ,59.0,$11.1 B,Healthcare ,United States
Christopher Rokos ,51.0,$1.5 B,Finance & Investments ,United Kingdom
Wang Kunxiao ,52.0,$1.2 B,Manufacturing ,China
Gavril Yushvaev ,64.0,$1.4 B,Finance & Investments ,Russia
P.V. Ramprasad Reddy ,64.0,$2 B,Healthcare ,India
Cheng Xue ,52.0,$6.4 B,Food & Beverage ,China
Harry Klagsbrun ,67.0,$1.1 B,Finance & Investments ,Sweden
Peter Sondakh ,72.0,$2.1 B,Finance & Investments ,Indonesia
Jonathan Kwok ,30.0,$2.2 B,Real Estate ,Hong Kong
Mark Shoen ,71.0,$4.7 B,Automotive ,United States
Dilip Surana ,56.0,$1.9 B,Healthcare ,India
Jorn Rausing ,62.0,$9.8 B,Food & Beverage ,Sweden
Carl Bennet ,70.0,$8.3 B,Finance & Investments ,Sweden
Harsh Mariwala,71,$6.3B,consumer goods,India
Ben Silbermann ,39.0,$1.4 B,Media & Entertainment ,United States
Xiang Guangming & family ,58.0,$2.1 B,Manufacturing ,China
Anthony Casalena ,39.0,$1.3 B,Technology ,United States
Philippe Laffont ,54.0,$6.5 B,Finance & Investments ,United States
Cai Kui ,59.0,$8.7 B,Real Estate ,China
He Yamin & family ,65.0,$1.2 B,Manufacturing ,China
Paul Foster ,64.0,$1.8 B,Energy ,United States
Harley Sy ,62.0,$2.4 B,Diversified ,Philippines
Sandra Ortega Mera ,53.0,$5.8 B,Fashion & Retail ,Spain
Wu Lanlan & family ,48.0,$1.8 B,Manufacturing ,China
Li Liangbin ,54.0,$5.2 B,Manufacturing ,China
Larry Ellison ,77.0,$106 B,Technology ,United States
Wang Chuanfu ,56.0,$19.5 B,Automotive ,China
Henry Davis ,71.0,$2.3 B,Food & Beverage ,United States
Robert F. Smith ,59.0,$6.7 B,Finance & Investments ,United States
Leonid Fedun ,66.0,$5 B,Energy ,Russia
Lee Joong-keun ,81.0,$1.7 B,Construction & Engineering ,South Korea
Yu Lili ,54.0,$1.7 B,Manufacturing ,China
David Duffield ,81.0,$12.9 B,Technology ,United States
Cheng Antares ,64.0,$1.4 B,Food & Beverage ,Hong Kong
Shen Hua & family ,59.0,$2.9 B,Technology ,United States
Dan Wilks ,65.0,$1.3 B,Energy ,United States
Michael Moritz ,67.0,$5.9 B,Technology ,United States
Francois Feuillet & family ,73.0,$1.9 B,Automotive ,France
Frederik Paulsen ,71.0,$7.7 B,Healthcare ,Sweden
Yongpei Ni & family ,70.0,$2.5 B,Food & Beverage ,China
Gang Ye ,41.0,$3.1 B,Media & Entertainment ,Singapore
Lee Shau Kee ,94.0,$32.6 B,Real Estate ,Hong Kong
Barbara Benetton ,52.0,$1.3 B,Fashion & Retail ,Italy
Charles Schwab ,84.0,$12.2 B,Finance & Investments ,United States
Joseph Liemandt ,53.0,$3 B,Technology ,United States
Vinod Khosla ,67.0,$6.9 B,Technology ,United States
Andreas Pohl ,57.0,$1.5 B,Finance & Investments ,Germany
Shen Guojun ,59.0,$5.3 B,Fashion & Retail ,China
Stein Erik Hagen ,65.0,$2.5 B,Fashion & Retail ,Norway
William Fisher ,65.0,$1.2 B,Fashion & Retail ,United States
Wang Junmin ,53.0,$1.2 B,Healthcare ,China
Mrudula Parekh ,74.0,$1.8 B,Manufacturing ,India
Yoo Jung-hyun ,52.0,$2.9 B,Media & Entertainment ,South Korea
Ivan Chrenko ,54.0,$1.7 B,Real Estate ,Slovakia
Chengjian Zhou ,56.0,$1.5 B,Fashion & Retail ,China
Yusuf Hamied,86,$3.95B,pharmaceuticals,India
Daniel Sundheim ,45.0,$3.2 B,Finance & Investments ,United States
Thomas Duff ,65.0,$2 B,Diversified ,United States
Michael S. Smith ,66.0,$1.1 B,Energy ,United States
Kalanithi Maran ,56.0,$2.4 B,Media & Entertainment ,India
Alejandro Santo Domingo ,45.0,$2.6 B,Food & Beverage ,United States
Herbert Wertheim ,82.0,$4 B,Finance & Investments ,United States
Jim McKelvey ,56.0,$2 B,Technology ,United States
Margot Birmingham Perot ,88.0,$4.3 B,Technology ,United States
Xia Zuoquan ,60.0,$3.5 B,Automotive ,China
You Xiaoping ,64.0,$5.2 B,Manufacturing ,China
Sol Daurella ,56.0,$1.7 B,Food & Beverage ,Spain
Wang Liping & family ,56.0,$8.6 B,Manufacturing ,China
Yakir Gabay ,55.0,$4.2 B,Real Estate ,Cyprus
Fred Ehrsam ,33.0,$2.1 B,Finance & Investments ,United States
Zhang Jingzhang & family ,86.0,$1.7 B,Manufacturing ,China
Wang Shumin ,65.0,$1.1 B,Manufacturing ,China
Ronda Stryker ,67.0,$6.8 B,Healthcare ,United States
Sri Prakash Lohia ,69.0,$6.3 B,Manufacturing ,Indonesia
Gabriella Meister ,,$1.1 B,Manufacturing ,Germany
Miranda Qu ,37.0,$1.8 B,Fashion & Retail ,China
Jeffrey Lurie ,70.0,$3.5 B,Sports ,United States
Richard Saghian ,40.0,$1.3 B,Fashion & Retail ,United States
Zhang Tianyu ,54.0,$1.2 B,Telecom ,China
Eva Maria Bucher-Haefner ,65.0,$3 B,Technology ,Switzerland
Li Li ,56.0,$2.7 B,Healthcare ,China
George Pedersen ,86.0,$1.2 B,Manufacturing ,United States
Bill Gates ,66.0,$129 B,Technology ,United States
Ravi Pillai ,68.0,$2.6 B,Construction & Engineering ,India
Kangbao Ke & family ,59.0,$1 B,Healthcare ,China
Ruiqing Tan ,55.0,$1 B,Manufacturing ,China
Xu Bingzhong ,48.0,$1.4 B,Food & Beverage ,China
Zhang Hongwei ,67.0,$2.4 B,Diversified ,China
Haim Saban ,77.0,$3.1 B,Media & Entertainment ,United States
Tim Cook ,61.0,$2 B,Technology ,United States
Andy Fang ,29.0,$1.1 B,Technology ,United States
Huang Xiaofen & family ,60.0,$1.4 B,Technology ,China
Howard Schultz ,68.0,$4 B,Food & Beverage ,United States
Jack Ma ,57.0,$22.8 B,Technology ,China
Sun Hongbin ,59.0,$2.8 B,Real Estate ,United States
Michael Xie ,53.0,$3.4 B,Technology ,United States
Baoshen Zhong ,54.0,$1.1 B,Energy ,China
Barry Zekelman ,55.0,$3.3 B,Manufacturing ,Canada
Tran Ba Duong & family ,62.0,$1.6 B,Automotive ,Vietnam
Yintai Jiang & family ,71.0,$1.4 B,Automotive ,China
Ruan Shuilong & family ,86.0,$2 B,Manufacturing ,China
Ke Xiping & family ,61.0,$1.5 B,Diversified ,China
Kazuo Okada ,79.0,$1.6 B,Gambling & Casinos ,Japan
Tseng Sing-ai ,,$1.6 B,Manufacturing ,Taiwan
Murat Ulker ,63.0,$4.7 B,Food & Beverage ,Turkey
Xiong Shaoming ,51.0,$1 B,Manufacturing ,China
Tung Chee Hwa ,84.0,$2.8 B,Logistics ,Hong Kong
Karel Komarek ,53.0,$7.7 B,Gambling & Casinos ,Czechia
Alexander Frolov ,57.0,$2.3 B,Metals & Mining ,Russia
Francis Holder ,81.0,$1.3 B,Food & Beverage ,France
Todd McKinnon ,50.0,$1.2 B,Technology ,United States
Yao Liangsong ,57.0,$8.1 B,Manufacturing ,China
P.V. Ramprasad Reddy,64,$1.6B,"pharmaceuticals, Self Made",India
Chatchai Kaewbootta ,70.0,$1.2 B,Finance & Investments ,Thailand
John Reece ,65.0,$5.5 B,Manufacturing ,United Kingdom
Li Rucheng ,70.0,$1.6 B,Fashion & Retail ,China
Robert Clark ,63.0,$1.6 B,Construction & Engineering ,United States
Beatriz Davila de Santo Domingo ,83.0,$3.5 B,Food & Beverage ,Colombia
Horst Julius Pudwill ,77.0,$6.9 B,Manufacturing ,Germany
Sefik Yilmaz Dizdar ,84.0,$1 B,Fashion & Retail ,Turkey
Sergio Stevanato & family ,79.0,$3.8 B,Healthcare ,Italy
Dean Solon ,57.0,$1 B,Energy ,United States
Xing Wang ,43.0,$11 B,Technology ,China
Jin Lei & family ,67.0,$1.6 B,Healthcare ,China
Tom Gores ,57.0,$6 B,Finance & Investments ,United States
John de Mol ,67.0,$1.8 B,Media & Entertainment ,Netherlands
Huang Weibin ,54.0,$1 B,Manufacturing ,China
George Alexander Muthoot ,66.0,$1.4 B,Finance & Investments ,India
Ronald Perelman ,79.0,$2.6 B,Finance & Investments ,United States
Paul Xiaoming Lee & family ,64.0,$8.6 B,Manufacturing ,United States
Ke Zunhong & family ,67.0,$1.5 B,Healthcare ,China
Wei Ing-Chou ,68.0,$1.6 B,Food & Beverage ,Taiwan
Evan Spiegel ,31.0,$6.1 B,Media & Entertainment ,United States
Leonid Boguslavsky ,70.0,$4.7 B,Finance & Investments ,Canada
Cheng Xianfeng ,53.0,$1.3 B,Healthcare ,China
Stephen Ross ,81.0,$8.2 B,Real Estate ,United States
Susanto Suwarto ,66.0,$1.1 B,Media & Entertainment ,Indonesia
William Boyd & family ,90.0,$2.3 B,Gambling & Casinos ,United States
Caroline Hagen Kjos ,38.0,$2.4 B,Diversified ,Norway
Mark Rein ,58.0,$1 B,Media & Entertainment ,United States
Charles B. Johnson ,89.0,$5.1 B,Finance & Investments ,United States
Andrew & Peggy Cherng ,,$3.2 B,Food & Beverage ,United States
Miuccia Prada ,72.0,$4 B,Fashion & Retail ,Italy
Amnon Shashua ,61.0,$1.5 B,Automotive ,Israel
Martin Lau ,49.0,$2.2 B,Technology ,Hong Kong
Todd Wanek ,58.0,$3.4 B,Manufacturing ,United States
Wang Wei ,51.0,$24.3 B,Service ,China
John Mars ,86.0,$31.7 B,Food & Beverage ,United States
Yang Shaopeng ,64.0,$4.8 B,Logistics ,China
David Teoh ,66.0,$1.6 B,Telecom ,Australia
Mingwang Wang ,54.0,$1.7 B,Manufacturing ,China
Wei Yin-Chun ,65.0,$1.6 B,Food & Beverage ,Taiwan
Ugur Sahin ,56.0,$5.3 B,Healthcare ,Germany
Pedro Moreira Salles ,62.0,$1.9 B,Diversified ,Brazil
Kwong Siu-hing ,92.0,$12.6 B,Real Estate ,Hong Kong
Jack Dangermond ,76.0,$6.4 B,Technology ,United States
Terence (Terry) Matthews ,79.0,$1.6 B,Telecom ,Canada
Lawrence Stroll ,62.0,$3 B,Fashion & Retail ,Canada
Neil Bluhm ,84.0,$5.5 B,Real Estate ,United States
Brandt Louie ,78.0,$1.6 B,Food & Beverage ,Canada
Zhang Xin & Pan Shiyi ,56.0,$3 B,Real Estate ,China
Hans Melchers ,83.0,$2.8 B,Finance & Investments ,Netherlands
Maria Del Pino ,66.0,$2.5 B,Construction & Engineering ,Spain
Mikhail Fridman ,57.0,$11.8 B,Energy ,Russia
Willy Michel ,75.0,$2.5 B,Healthcare ,Switzerland
Xuexin Zhang & family ,74.0,$1.8 B,Metals & Mining ,China
Wu Yonghua ,51.0,$1.1 B,Fashion & Retail ,China
Sven Hagströmer ,78.0,$1.2 B,Finance & Investments ,Sweden
Xingming Zhu ,55.0,$2.6 B,Manufacturing ,China
Bubba Cathy ,67.0,$4.6 B,Food & Beverage ,United States
Thor Bjorgolfsson ,55.0,$2.5 B,Diversified ,Iceland
Zhang Chuanwei & family ,59.0,$1.8 B,Manufacturing ,China
Wang Zelong ,25.0,$1.5 B,Metals & Mining ,China
Kim Kardashian ,41.0,$1.8 B,Fashion & Retail ,United States
Mori Arkin ,69.0,$1.6 B,Healthcare ,Israel
Pallonji Mistry,construction,$16.4B,Ireland,
Euisun Chung ,51.0,$3 B,Logistics ,South Korea
Li Min ,56.0,$3 B,Technology ,China
Ryuji Arai ,75.0,$1.1 B,Fashion & Retail ,Japan
Carlos Hank Rhon ,74.0,$2.7 B,Diversified ,Mexico
Clifford Asness ,55.0,$1.6 B,Finance & Investments ,United States
Ayman Hariri ,43.0,$1.4 B,Construction & Engineering ,Lebanon
Chandru Raheja ,81.0,$3.6 B,Real Estate ,India
An Kang ,73.0,$3.3 B,Healthcare ,China
Stefan von Holtzbrinck ,58.0,$3.3 B,Media & Entertainment ,Germany
Georgi Domuschiev ,49.0,$2 B,Diversified ,Bulgaria
Liying Chen ,46.0,$1.8 B,Logistics ,China
Rita Tong Liu ,73.0,$3.2 B,Real Estate ,Hong Kong
Che Jianxing ,55.0,$3.7 B,Fashion & Retail ,China
Li Yongxin & family ,46.0,$3.5 B,Service ,China
Anand Mahindra ,66.0,$1.7 B,Diversified ,India
Rameshchandra Jain ,73.0,$1.2 B,Manufacturing ,India
Bill Haslam ,63.0,$2.3 B,Fashion & Retail ,United States
Vincent Lo ,73.0,$1.6 B,Real Estate ,Hong Kong
Lynn Schusterman ,83.0,$3.5 B,Energy ,United States
Cyrus Poonawalla ,80.0,$24.3 B,Healthcare ,India
Johann Graf ,75.0,$5 B,Gambling & Casinos ,Austria
Hui Ka Yan ,63.0,$8.8 B,Real Estate ,China
Matt Hulsizer ,,$1.5 B,Finance & Investments ,United States
Zhang Ning & family ,48.0,$2.5 B,Manufacturing ,Canada
Mukand Lal Dua ,73.0,$1.4 B,Fashion & Retail ,India
Wolfgang Reimann ,69.0,$5.8 B,Fashion & Retail ,Germany
Venu Srinivasan ,69.0,$1.1 B,Automotive ,India
Prathap Reddy,90,$2.2B,"healthcare, Self Made",India
Dilip Shanghvi,66,$14.3B,"pharmaceuticals, Self Made",India
Edwin Soeryadjaya ,72.0,$1.5 B,Energy ,Indonesia
Anand Burman ,69.0,$2.3 B,Food & Beverage ,India
Bulent Eczacibasi ,72.0,$1.5 B,Diversified ,Turkey
Michael Steinhardt ,81.0,$1.2 B,Finance & Investments ,United States
Nathan Blecharczyk ,38.0,$9.2 B,Technology ,United States
Wichai Thongtang ,75.0,$2 B,Finance & Investments ,Thailand
Sergio Fogel ,58.0,$1.5 B,Finance & Investments ,Uruguay
Julian Baker ,55.0,$2.8 B,Finance & Investments ,United States
Luis Carlos Sarmiento ,89.0,$9.9 B,Finance & Investments ,Colombia
Sidney Kimmel ,94.0,$1.5 B,Fashion & Retail ,United States
Augusto & Giorgio Perfetti ,,$4.1 B,Food & Beverage ,Italy
Gao Yunfeng ,55.0,$1.6 B,Manufacturing ,China
Benu Gopal Bangur,91,$7.1B,cement,India
Gong Hongjia & family ,57.0,$13.2 B,Finance & Investments ,Hong Kong
François Pinault & family ,85.0,$40.4 B,Fashion & Retail ,France
Anthony Pratt ,61.0,$11.4 B,Manufacturing ,Australia
Phongthep Chiaravanont ,70.0,$1.7 B,Diversified ,Thailand
Luo Liguo & family ,66.0,$17 B,Manufacturing ,China
Ruan Liping ,58.0,$5.8 B,Manufacturing ,Hong Kong
Vincent Viola ,66.0,$4.2 B,Finance & Investments ,United States
Chang Kuo-Cheng ,,$1.2 B,Logistics ,Taiwan
Jack Dorsey ,45.0,$6.1 B,Technology ,United States
Alan Miller & family ,84.0,$1.5 B,Healthcare ,United States
David Rubenstein ,72.0,$4 B,Finance & Investments ,United States
Vadim Novinsky ,58.0,$1.3 B,Metals & Mining ,Ukraine
David Wertheim ,64.0,$2.6 B,Food & Beverage ,Israel
Asok Kumar Hiranandani ,67.0,$1.6 B,Real Estate ,Singapore
Fu Liquan & family ,54.0,$3.4 B,Technology ,China
Wang Laichun ,54.0,$9.5 B,Technology ,China
John Middleton ,67.0,$3.4 B,Food & Beverage ,United States
Wenbo Xiang ,59.0,$1.4 B,Manufacturing ,China
Yi Xianzhong & family ,62.0,$1.1 B,Healthcare ,China
Juan Roig ,72.0,$4 B,Fashion & Retail ,Spain
Penny Pritzker ,62.0,$3.2 B,Finance & Investments ,United States
Kim Beom-su ,56.0,$9.1 B,Technology ,South Korea
Syed Mokhtar AlBukhary ,70.0,$1.4 B,Construction & Engineering ,Malaysia
Dilip Shanghvi ,66.0,$15.6 B,Healthcare ,India
Vincent Bolloré & family ,70.0,$7.5 B,Finance & Investments ,France
Ralph Dommermuth ,58.0,$3.3 B,Technology ,Germany
Xingjiang Gao ,58.0,$2.7 B,Manufacturing ,China
Zhong Shanshan ,67.0,$65.7 B,Food & Beverage ,China
Lakshmi Mittal ,71.0,$17.9 B,Metals & Mining ,India
Douglas Leone ,64.0,$6.9 B,Finance & Investments ,United States
"Edward Johnson, IV. ",57.0,$6.3 B,Finance & Investments ,United States
Patrick Collison ,33.0,$9.5 B,Technology ,Ireland
Carl Thoma ,73.0,$1.6 B,Finance & Investments ,United States
Hasso Plattner & family ,78.0,$7.9 B,Technology ,Germany
Judy Faulkner ,78.0,$7 B,Technology ,United States
Takemitsu Takizaki ,76.0,$23.9 B,Manufacturing ,Japan
William MacMillan ,67.0,$1.6 B,Food & Beverage ,United States
Weng Xianding ,60.0,$1.2 B,Healthcare ,China
Liang Wengen ,65.0,$7.8 B,Manufacturing ,China
Lai Jianfa ,52.0,$1.5 B,Logistics ,China
Dennis Washington ,87.0,$6.9 B,Logistics ,United States
George Joseph ,100.0,$1.8 B,Finance & Investments ,United States
Sebastian Kulczyk ,41.0,$1.4 B,Finance & Investments ,Poland
Steve Conine ,49.0,$1.5 B,Technology ,United States
Aneel Bhusri ,56.0,$2.7 B,Technology ,United States
Murugappa Family,diversified,$4.7B,"Chennai, India",
Xu Xudong & family ,52.0,$1.8 B,Automotive ,China
Leng Youbin ,53.0,$4.8 B,Food & Beverage ,China
Thomas Secunda ,67.0,$4.1 B,Media & Entertainment ,United States
Jose Joao Abdalla Filho ,76.0,$2.8 B,Finance & Investments ,Brazil
Zhang Yiming ,38.0,$50 B,Media & Entertainment ,China
S. Curtis Johnson ,66.0,$3.3 B,Manufacturing ,United States
Su Hua ,40.0,$4.3 B,Media & Entertainment ,China
Kong Jian Min ,54.0,$1.5 B,Real Estate ,China
Brunello Cucinelli & family ,68.0,$2 B,Fashion & Retail ,Italy
Lee Seung-gun ,40.0,$1.2 B,Technology ,South Korea
Arnout Schuijff ,54.0,$2.9 B,Technology ,Netherlands
Xuansong Zhang ,50.0,$1.5 B,Fashion & Retail ,China
Benu Gopal Bangur ,90.0,$6.7 B,Manufacturing ,India
Chan Laiwa & family ,81.0,$5.1 B,Real Estate ,China
German Khan ,60.0,$7.8 B,Energy ,Russia
Vardis Vardinoyannis & family ,89.0,$1.4 B,Energy ,Greece
Li Denghai ,72.0,$1.6 B,Food & Beverage ,China
Wang Linpeng ,53.0,$2.6 B,Construction & Engineering ,China
Scott Shleifer ,44.0,$5 B,Finance & Investments ,United States
Christian Latouche ,81.0,$2.2 B,Finance & Investments ,France
Elena Baturina ,59.0,$1.4 B,Construction & Engineering ,Russia
Randolph Lerner ,60.0,$1.1 B,Finance & Investments ,United States
John A. Sobrato & family ,82.0,$5.8 B,Real Estate ,United States
Romesh T. Wadhwani ,74.0,$4.2 B,Technology ,United States
Iris Fontbona & family ,79.0,$22.8 B,Metals & Mining ,Chile
Nicholas Pritzker ,78.0,$2.8 B,Finance & Investments ,United States
Paolo Bulgari ,84.0,$1.5 B,Fashion & Retail ,Italy
Nancy Lerner ,61.0,$1.1 B,Finance & Investments ,United States
Shigenobu Nagamori ,77.0,$5.4 B,Manufacturing ,Japan
Dragos Paval ,55.0,$1.5 B,Fashion & Retail ,Romania
Chang Byung-gyu ,48.0,$1.8 B,Technology ,South Korea
