Name,Age,Net_Worth,Income Source,Citizenship
Zhang Congyuan ,74.0,$11.7 B,Fashion & Retail ,Taiwan
Vivek Chaand Sehgal ,65.0,$2.6 B,Automotive ,Australia
Liu Baolin ,68.0,$1 B,Fashion & Retail ,China
Otto Toto Sugiri ,68.0,$2.4 B,Technology ,Indonesia
P.V.Krishna Reddy ,52.0,$1.3 B,Construction & Engineering ,India
Jeff Greene ,67.0,$5.1 B,Real Estate ,United States
Lai Shixian ,47.0,$2.1 B,Fashion & Retail ,China
Markus Persson ,42.0,$1.5 B,Media & Entertainment ,Sweden
Henrique Dubugras ,26.0,$1.5 B,Finance & Investments ,Brazil
Faxiang Yu ,50.0,$1.2 B,Media & Entertainment ,China
Heloise Pratt ,59.0,$2.3 B,Manufacturing ,Australia
Li Shufu ,58.0,$23.7 B,Automotive ,China
Steven Sarowitz ,56.0,$2.8 B,Technology ,United States
Jinxia Chen ,54.0,$2.7 B,Finance & Investments ,China
Maja Oeri ,67.0,$3.9 B,Healthcare ,Switzerland
Savitri Jindal,72,$17.2B,steel,India
Sam Bankman-Fried ,30.0,$24 B,Finance & Investments ,United States
Daniel Lubetzky ,53.0,$2.2 B,Food & Beverage ,United States
Silvio Berlusconi & family ,85.0,$7.1 B,Diversified ,Italy
William Stone ,66.0,$2.8 B,Technology ,United States
Yuhua Gu & family ,72.0,$3.5 B,Manufacturing ,China
Antonio Del Valle Ruiz & family ,83.0,$3.5 B,Manufacturing ,Mexico
Melanie Perkins ,34.0,$6.5 B,Technology ,Australia
Wang Junshi & family ,73.0,$5.1 B,Manufacturing ,China
Phil Ruffin ,87.0,$2 B,Diversified ,United States
Zhongwu Mao ,59.0,$1.4 B,Manufacturing ,China
Ken Griffin ,53.0,$27.2 B,Finance & Investments ,United States
Christine Knauf ,,$1.4 B,Manufacturing ,Germany
Strive Masiyiwa ,61.0,$3 B,Telecom ,Zimbabwe
Yan Zhi ,49.0,$2 B,Real Estate ,China
Arvind Lal,73,$1.5B,medical diagnostics,India
Thomas Struengmann & family ,72.0,$11.9 B,Healthcare ,Germany
Tang Xiao'ou ,54.0,$5.7 B,Technology ,Hong Kong
Angela Leong ,61.0,$2.8 B,Real Estate ,Hong Kong
N.R. Narayana Murthy ,75.0,$4.4 B,Technology ,India
Pyotr Aven ,67.0,$4.3 B,Finance & Investments ,Russia
Chairul Tanjung ,59.0,$8.3 B,Diversified ,Indonesia
Pengcheng Wen & family ,59.0,$1.3 B,Food & Beverage ,China
Yang Jian ,50.0,$1.5 B,Real Estate ,China
Park Kwan-ho ,50.0,$1.2 B,Media & Entertainment ,South Korea
Mustafa Hamied ,81.0,$1.1 B,Healthcare ,India
Marian Ilitch ,89.0,$4.4 B,Food & Beverage ,United States
Hamdi Ulukaya ,49.0,$2.4 B,Food & Beverage ,Turkey
Nguyen Dang Quang ,58.0,$1.9 B,Food & Beverage ,Vietnam
Alice Walton ,72.0,$65.3 B,Fashion & Retail ,United States
Yingzhuo Xu ,54.0,$2.3 B,Food & Beverage ,China
Alexandra Andresen ,25.0,$1.3 B,Diversified ,Norway
Renata Kellnerova & family ,54.0,$16.6 B,Finance & Investments ,Czechia
Teh Hong Piow ,92.0,$5.9 B,Finance & Investments ,Malaysia
"Robert Rich, Jr. ",81.0,$4.9 B,Food & Beverage ,United States
Qian Xiaojun ,47.0,$1.1 B,Technology ,China
Dilip & Anand Surana,pharmaceuticals,$2.25B,"Bangalore, India",
Jay Y. Lee ,53.0,$9.1 B,Diversified ,South Korea
Masaaki Arai ,56.0,$2.1 B,Real Estate ,Japan
Juergen Blickle ,75.0,$6.4 B,Manufacturing ,Germany
Tung Ching Sai ,57.0,$1.6 B,Manufacturing ,China
Clayton Mathile ,81.0,$2.3 B,Food & Beverage ,United States
Christy Walton ,73.0,$7.9 B,Fashion & Retail ,United States
Jerry Yang ,53.0,$2.7 B,Technology ,United States
Robert Ziff ,55.0,$5 B,Finance & Investments ,United States
Shuifu Wang ,67.0,$2 B,Manufacturing ,China
"Frank Fertitta, III. ",60.0,$2.6 B,Sports ,United States
